Rank,Player,Country,Position,Assists,Attempts On Target,Attempts At Goal,Attempts At Goal Conv. Rate (%),Attempts Inside the Penalty Area,Attempts Outside the Penalty Area,Headed Attempts at Goal,xG,xG Efficiency,Corners
1,Michael Olise,FRA,FW,5,5,17,0,8,9,0,1.84,0x,19
2,Martin Odegaard,NOR,MF,4,3,9,0,5,4,0,0.72,0x,12
2,Brahim Diaz,MAR,FW,4,1,6,0,4,2,0,0.31,0x,1
2,Bruno Guimaraes,BRA,MF,4,2,8,0,5,3,1,1.02,0x,8
5,Roberto Alvarado,MEX,FW,3,0,5,0,2,3,0,0.28,0x,14
5,Kylian Mbappe,FRA,FW,3,19,30,27,20,10,0,5.16,1.55x,4
5,Bukayo Saka,ENG,FW,3,3,8,0,7,1,1,0.5,0x,4
5,Florian Wirtz,GER,MF,3,1,10,0,5,5,0,0.97,0x,5
5,Anthony Gordon,ENG,FW,3,3,5,0,5,0,2,0.36,0x,0
5,Andreas Schjelderup,NOR,MF,3,2,3,33,3,0,0,0.2,5.12x,0
5,Alexander Isak,SWE,FW,3,6,8,13,5,3,1,0.68,1.48x,0
12,Viktor Gyokeres,SWE,FW,2,6,12,8,9,3,0,1.39,0.72x,0
12,Chris Wood,NZL,FW,2,2,5,0,3,2,2,0.47,0x,0
12,Johan Manzambi,SUI,MF,2,3,6,50,4,2,0,0.63,4.73x,0
12,Marc Cucurella,ESP,DF,2,3,4,0,3,1,1,0.3,0x,0
12,Breel Embolo,SUI,FW,2,5,10,20,8,2,2,2.58,0.78x,0
12,Hans Vanaken,BEL,MF,2,1,5,20,4,1,0,0.64,1.56x,0
12,Joshua Kimmich,GER,DF,2,1,5,0,1,4,0,0.15,0x,15
12,Leandro Trossard,BEL,FW,2,4,17,12,10,7,0,1.67,1.2x,0
12,Ryan Gravenberch,NED,MF,2,0,5,0,2,3,0,0.25,0x,0
12,Deniz Undav,GER,FW,2,4,6,50,5,1,0,1.43,2.1x,0
12,Denzel Dumfries,NED,DF,2,2,5,0,4,1,2,0.44,0x,0
12,Crysencio Summerville,NED,FW,2,2,2,100,1,1,0,0.16,12.33x,3
12,Patrick Berg,NOR,MF,2,0,3,0,0,3,0,0.29,0x,10
12,Ousmane Dembele,FRA,FW,2,6,16,31,9,7,1,1.53,3.27x,16
12,Nicolas Raskin,BEL,MF,2,1,2,0,2,0,1,0.13,0x,0
12,Houssem Aouar,ALG,MF,2,1,3,0,1,2,0,0.24,0x,0
12,Julio Enciso,PAR,FW,2,1,8,13,6,2,1,0.74,1.36x,2
12,Lionel Messi,ARG,FW,2,19,33,24,16,17,0,6.15,1.3x,28
12,Nathan Saliba,CAN,MF,2,1,3,33,1,2,1,0.3,3.36x,0
12,Achraf Hakimi,MAR,DF,2,4,14,7,6,8,0,0.96,1.04x,21
12,Hannibal Mejbri,TUN,MF,2,1,3,0,0,3,0,0.06,0x,4
12,Mohamed Salah,EGY,FW,2,4,9,11,7,2,1,0.95,1.05x,15
12,Iliman Ndiaye,SEN,FW,2,2,3,33,2,1,0,0.21,4.76x,0
35,Mohamed Hany,EGY,DF,1,0,4,0,0,4,0,0.09,0x,0
35,Mostafa Zico,EGY,MF,1,3,8,25,7,1,2,1.1,1.82x,0
35,Wilfried Singo,CIV,DF,1,0,2,0,2,0,0,0.14,0x,0
35,Sadio Mane,SEN,FW,1,3,6,0,4,2,0,0.58,0x,1
35,Ernest Nuamah,GHA,FW,1,0,0,0,0,0,0,0,0x,0
35,Chadi Riad,MAR,DF,1,0,1,0,1,0,1,0.12,0x,0
35,Promise David,CAN,FW,1,3,5,20,3,2,1,0.75,1.34x,0
35,Moussa Niakhate,SEN,DF,1,0,1,0,1,0,1,0.06,0x,0
35,Jean Kevin Duverne,HAI,DF,1,0,1,0,1,0,0,0.03,0x,0
35,Nicolas Jackson,SEN,FW,1,3,7,0,6,1,2,0.56,0x,0
35,Ismaila Sarr,SEN,FW,1,6,17,24,15,2,2,3.68,1.09x,0
35,Nicolas Pepe,CIV,FW,1,3,6,33,5,1,0,1.42,1.41x,6
35,Soufiane Rahimi,MAR,FW,1,4,6,33,5,1,2,1.59,1.26x,0
35,Chemsdine Talbi,MAR,MF,1,0,2,0,1,1,0,0.05,0x,0
35,Haissem Hassan,EGY,FW,1,0,1,0,1,0,0,0.09,0x,0
35,Lamine Camara,SEN,MF,1,0,3,0,0,3,0,0.14,0x,5
