Rank,Player,Country,Position,Goalkeeper Saves,Goalkeeper Actions Inside the Penalty Area,Goalkeeper Actions Outside the Penalty Area
1,Orlando Gill,PAR,GK,28,141,124
2,Eloy Room,CUW,GK,21,81,72
3,Gregor Kobel,SUI,GK,20,100,88
3,Diogo Costa,POR,GK,20,114,93
5,Yassine Bounou,MAR,GK,19,112,91
6,Vozinha,CPV,GK,18,136,102
7,Zion Suzuki,JPN,GK,17,78,64
7,Mohammed Alowais,KSA,GK,17,86,78
7,Thibaut Courtois,BEL,GK,17,110,90
7,Orjan Nyland,NOR,GK,17,107,93
7,Bart Verbruggen,NED,GK,17,57,54
12,Mahmoud Abunada,QAT,GK,16,124,103
13,Alireza Beiranvand,IRN,GK,15,75,65
13,Lionel Mpasi,COD,GK,15,83,70
13,Alexander Schlager,AUT,GK,15,85,74
13,Alisson,BRA,GK,15,67,59
17,Mostafa Shoubir,EGY,GK,14,119,105
17,Ronwen Williams,RSA,GK,14,72,59
17,Jordan Pickford,ENG,GK,14,116,94
17,Unai Simon,ESP,GK,14,108,84
17,Patrick Beach,AUS,GK,14,91,76
22,Johny Placide,HAI,GK,13,56,48
23,Hernan Galindez,ECU,GK,12,68,63
23,Jacob Widell Zetterstrom,SWE,GK,12,54,46
23,Dominik Livakovic,CRO,GK,12,80,68
26,Mike Maignan,FRA,GK,11,80,64
26,Yahia Fofana,CIV,GK,11,84,68
26,Kim Seunggyu,KOR,GK,11,42,34
26,Matej Kovar,CZE,GK,11,60,52
26,Max Crocombe,NZL,GK,11,97,88
31,Matt Freese,USA,GK,10,58,48
32,Orlando Mosquera,PAN,GK,9,48,42
32,Angus Gunn,SCO,GK,9,75,64
32,Luca Zidane,ALG,GK,9,34,32
35,Yazeed Abulaila,JOR,GK,8,70,56
35,Edouard Mendy,SEN,GK,8,34,25
35,Lawrence Ati Zigi,GHA,GK,8,31,30
35,Benjamin Asare,GHA,GK,8,55,47
35,Ugurcan Cakir,TUR,GK,8,55,46
35,Nikola Vasilj,BIH,GK,8,92,70
35,Emiliano Martinez,ARG,GK,8,76,64
35,Raul Rangel,MEX,GK,8,57,46
43,Camilo Vargas,COL,GK,7,57,54
43,Jalal Hassan,IRQ,GK,7,51,45
43,Manuel Neuer,GER,GK,7,61,45
43,Maxime Crepeau,CAN,GK,7,49,40
47,Aymen Dahmen,TUN,GK,6,51,44
48,Mory Diaw,SEN,GK,5,53,45
48,Egil Selvik,NOR,GK,5,25,22
48,Abduvohid Nematov,UZB,GK,5,55,44
51,Kristoffer Nordfeldt,SWE,GK,4,22,20
51,Fernando Muslera,URU,GK,4,41,34
53,Ahmed Basil,IRQ,GK,3,43,36
54,Senne Lammens,BEL,GK,2,7,5
55,Utkir Yusupov,UZB,GK,1,27,21
55,Mouhib Chamakh,TUN,GK,1,26,20
57,Joseph Anang,GHA,GK,0,0,0
57,Dayne St Clair,CAN,GK,0,0,0
57,Josue Duverger,HAI,GK,0,0,0
57,Ahmed Reda Tagnaouti,MAR,GK,0,0,0
57,Yehvann Diouf,SEN,GK,0,0,0
57,Mohamed Elshenawy,EGY,GK,0,0,0
57,Ricardo Goss,RSA,GK,0,0,0
57,Sipho Chaine,RSA,GK,0,0,0
57,Owen Goodman,CAN,GK,0,0,0
57,Mahdy Soliman,EGY,GK,0,0,0
57,Mohamed Kone,CIV,GK,0,0,0
57,Sabri Ben Hessen,TUN,GK,0,0,0
57,Alexandre Pierre,HAI,GK,0,0,0
57,Alban Lafont,CIV,GK,0,0,0
57,Munir El Kajoui,MAR,GK,0,0,0
57,Mohamed Alaa,EGY,GK,0,0,0
57,James Trafford,ENG,GK,0,0,0
57,Patrick Pentz,AUT,GK,0,0,0
57,Jose Sa,POR,GK,0,0,0
57,Rui Silva,POR,GK,0,0,0
57,Robin Risser,FRA,GK,0,0,0
57,Florian Wiegele,AUT,GK,0,0,0
57,Robin Roefs,NED,GK,0,0,0
57,Mike Penders,BEL,GK,0,0,0
57,Dean Henderson,ENG,GK,0,0,0
57,Oliver Baumann,GER,GK,0,0,0
57,Craig Gordon,SCO,GK,0,0,0
57,Dominik Kotarski,CRO,GK,0,0,0
57,Mark Flekken,NED,GK,0,0,0
57,Sander Tangvik,NOR,GK,0,0,0
57,Ivor Pandur,CRO,GK,0,0,0
57,Brice Samba,FRA,GK,0,0,0
57,Alexander Nuebel,GER,GK,0,0,0
57,Martin Zlomislic,BIH,GK,0,0,0
57,Tyrick Bodak,CUW,GK,0,0,0
57,Trevor Doornbusch,CUW,GK,0,0,0
57,Mladen Jurkas,BIH,GK,0,0,0
57,Gaston Olveira,PAR,GK,0,0,0
57,Moises Ramirez,ECU,GK,0,0,0
57,Geronimo Rulli,ARG,GK,0,0,0
57,Gatito Fernandez,PAR,GK,0,0,0
57,Matt Turner,USA,GK,0,21,17
57,Gonzalo Valle,ECU,GK,0,0,0
57,Juan Musso,ARG,GK,0,0,0
57,Guillermo Ochoa,MEX,GK,0,3,3
57,Weverton,BRA,GK,0,0,0
57,Alvaro Montero,COL,GK,0,0,0
57,Santiago Mele,URU,GK,0,0,0
57,Sergio Rochet,URU,GK,0,7,5
57,Cesar Samudio,PAN,GK,0,0,0
57,David Ospina,COL,GK,0,0,0
57,Chris Brady,USA,GK,0,0,0
57,Ederson,BRA,GK,0,0,0
57,Luis Mejia,PAN,GK,0,0,0
57,Carlos Acevedo,MEX,GK,0,0,0
57,Alex Paulsen,NZL,GK,0,0,0
57,Lukas Hornicek,CZE,GK,0,0,0
57,Altay Bayindir,TUR,GK,0,0,0
57,Paul Izzo,AUS,GK,0,0,0
57,Liam Kelly,SCO,GK,0,0,0
57,David Raya,ESP,GK,0,0,0
57,Mert Gunok,TUR,GK,0,0,0
57,Mathew Ryan,AUS,GK,0,0,0
57,Michael Woud,NZL,GK,0,0,0
57,Jindrich Stanek,CZE,GK,0,0,0
57,Viktor Johansson,SWE,GK,0,0,0
57,Yvon Mvogo,SUI,GK,0,0,0
57,Botirali Ergashev,UZB,GK,0,0,0
57,Marvin Keller,SUI,GK,0,0,0
57,Joan Garcia,ESP,GK,0,0,0
57,Meshaal Barsham,QAT,GK,0,0,0
57,Abdallah Alfakhori,JOR,GK,0,0,0
57,Timothy Fayulu,COD,GK,0,0,0
57,Tomoki Hayakawa,JPN,GK,0,0,0
57,Song Bumkeun,KOR,GK,0,0,0
57,Payam Niazmand,IRN,GK,0,0,0
57,Hossein Hosseini,IRN,GK,0,0,0
57,Jo Hyeonwoo,KOR,GK,0,0,0
57,Keisuke Osako,JPN,GK,0,0,0
57,Melvin Mastil,ALG,GK,0,0,0
57,Marcio Rosa,CPV,GK,0,0,0
57,Ahmed Alkassar,KSA,GK,0,0,0
57,Fahad Talib,IRQ,GK,0,0,0
57,Matthieu Epolo,COD,GK,0,0,0
57,Cj Dos Santos,CPV,GK,0,0,0
57,Nour Baniateyah,JOR,GK,0,0,0
57,Oussama Benbot,ALG,GK,0,14,13
57,Nawaf Alaqidi,KSA,GK,0,0,0
57,Salah Zakaria,QAT,GK,0,0,0
